sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
301.0,1,53.09777830462274,25,1021.0,17.016666666666666,3.4584921892135143
302.0,0,43.197343452782995,27,832.0,13.866666666666667,3.203189809869217
303.0,3,37.94398220008957,23,641.0,11.24561403508772,2.6224433586643756
304.0,1,31.746834288846284,25,590.0,10.535714285714286,2.608941144418914
305.0,0,32.607932969008964,25,541.0,9.660714285714286,2.8387541611001583
306.0,0,30.2654491982348,24,425.0,7.589285714285714,3.0773835299128467
307.0,1,31.56754602328434,23,332.0,6.036363636363636,3.0766375448155134
308.0,1,33.471862384280236,22,254.0,4.703703703703703,3.037455151767798
309.0,0,36.09156614042083,21,199.0,3.685185185185185,3.0944311598120455
310.0,1,38.011221602638926,21,164.0,2.981818181818182,3.231642352660703
311.0,0,36.5639089743497,20,150.0,2.6315789473684212,3.4280720072814583
312.0,1,28.057433067164126,21,155.0,2.767857142857143,3.0962525996451657
313.0,0,20.752202350644623,23,178.0,3.1785714285714284,3.1617592048637824
314.0,0,20.241135342739135,27,205.0,3.5964912280701755,3.044626231078784
315.0,1,15.5665795240115,28,233.0,4.087719298245614,2.7681323916699427
316.0,0,16.043269629611718,29,262.0,4.5964912280701755,2.737319912104917
317.0,1,21.510566083511392,30,292.0,5.214285714285714,2.2860114588043254
318.0,0,22.390965003619726,32,324.0,5.785714285714286,2.03205218949658
319.0,1,23.85504549803442,32,356.0,6.472727272727273,1.565140725064069
320.0,1,13.36395488125251,36,392.0,7.0,1.5443917418516782
321.0,1,10.148065071319255,37,429.0,7.526315789473684,1.5483384198355714
322.0,1,6.4401670771867074,38,467.0,8.339285714285714,1.258924399714018
323.0,1,6.8007113130031325,42,509.0,9.254545454545454,1.038440854783168
324.0,1,4.048300120108172,43,552.0,10.222222222222221,0.8769346165993847
325.0,0,2.221684912474542,44,596.0,10.275862068965518,1.370041316956923
326.0,0,7.469248026075446,45,641.0,10.683333333333334,1.5714887582667205
327.0,0,19.731727294852764,47,688.0,11.466666666666667,1.2486130555597692
328.0,0,16.806613172386356,48,736.0,12.266666666666667,1.0652761161071318
329.0,0,17.49508885744362,49,785.0,13.083333333333334,0.9110486657115922
330.0,0,8.659024801219587,52,837.0,13.95,0.7718087414331031
331.0,0,3.3028109210971164,54,891.0,14.370967741935484,1.1687336369027241
332.0,0,5.172936051163518,55,946.0,14.78125,1.39948931050224
333.0,0,4.452803113133559,56,1002.0,15.65625,1.374217270409819
334.0,0,5.00917685766383,56,1058.0,16.53125,1.429406963375301
335.0,0,6.9117751145318,56,1114.0,17.40625,1.416377253585558
336.0,0,12.955118556327443,56,1170.0,18.28125,1.2517663798490148
337.0,0,25.711823406582063,54,1154.0,18.03125,1.018453101113762
338.0,0,29.862691178256537,54,1208.0,18.875,0.6648301315736389
339.0,0,26.16627731426575,56,1264.0,19.75,0.3949145433411756
340.0,0,12.374334029299805,57,1321.0,20.640625,0.35269011356370505
341.0,0,8.124490942578507,58,1379.0,20.893939393939394,0.6978372437505675
342.0,0,5.650425013010238,61,1440.0,21.176470588235293,0.9460061028725346
343.0,0,6.178174957735052,62,1502.0,22.08823529411765,0.9692185908581192
344.0,0,5.593661103396169,62,1564.0,23.0,1.006894460441612
345.0,0,6.7022745451602805,60,1528.0,22.470588235294116,1.0260135881073462
346.0,0,20.921432061632917,58,1497.0,22.014705882352942,0.9447966073556482
347.0,0,24.64089715469375,56,1469.0,21.602941176470587,0.8564979490433222
348.0,0,18.654249193861073,54,1452.0,21.352941176470587,0.9478335343526183
349.0,0,21.74540966647434,53,1435.0,21.102941176470587,1.1177090656932887
350.0,0,19.237039276119923,52,1427.0,20.985294117647058,1.354935366132318
351.0,2,21.810715084487562,51,1422.0,20.91176470588235,1.6655678036946793
352.0,0,22.418010454697374,49,1429.0,20.414285714285715,2.1894908591132363
353.0,0,27.519836196526512,48,1435.0,20.5,2.4262819146261565
354.0,0,33.45047607127859,46,1453.0,20.757142857142856,2.584832550550619
355.0,0,36.61952650738417,44,1471.0,21.014285714285716,2.658413889116366
356.0,0,33.72147847314542,43,1507.0,21.52857142857143,2.7418582220077408
357.0,0,28.99531743438689,42,1536.0,21.942857142857143,3.009288220146791
358.0,1,31.0754397949217,42,1572.0,22.782608695652176,3.177434353657644
359.0,0,22.146842149646037,41,1611.0,23.347826086956523,3.4337227058332167
360.0,2,21.617494370548314,40,1650.0,24.62686567164179,3.349744020099969
361.0,0,24.139813778637073,40,1690.0,23.802816901408452,4.1706968533874536
362.0,2,23.925076895085603,40,1730.0,23.698630136986303,4.523563780761894
363.0,1,28.475042145103437,40,1770.0,23.91891891891892,4.764604257784546
364.0,0,34.18683737051799,40,1810.0,24.45945945945946,4.979606537284455
365.0,1,33.2057583511168,40,1850.0,25.34246575342466,4.905956047501398
